Municipios;País de nacimiento;Sexo;Periodo;Total
52001 Melilla;Francia;Mujeres;1 de enero de 2015;98
52001 Melilla;Italia;Total;1 de enero de 2020;30
52001 Melilla;Italia;Total;1 de enero de 2019;25
52001 Melilla;Italia;Total;1 de enero de 2018;24
52001 Melilla;Italia;Total;1 de enero de 2017;22
52001 Melilla;Italia;Total;1 de enero de 2016;23
52001 Melilla;Italia;Total;1 de enero de 2015;24
52001 Melilla;Italia;Hombres;1 de enero de 2020;15
52001 Melilla;Italia;Hombres;1 de enero de 2019;15
52001 Melilla;Italia;Hombres;1 de enero de 2018;16
52001 Melilla;Italia;Hombres;1 de enero de 2017;16
52001 Melilla;Italia;Hombres;1 de enero de 2016;15
52001 Melilla;Italia;Hombres;1 de enero de 2015;18
52001 Melilla;Italia;Mujeres;1 de enero de 2020;15
52001 Melilla;Italia;Mujeres;1 de enero de 2019;10
52001 Melilla;Italia;Mujeres;1 de enero de 2018;8
52001 Melilla;Italia;Mujeres;1 de enero de 2017;6
52001 Melilla;Italia;Mujeres;1 de enero de 2016;8
52001 Melilla;Italia;Mujeres;1 de enero de 2015;6
52001 Melilla;Polonia;Total;1 de enero de 2020;11
52001 Melilla;Polonia;Total;1 de enero de 2019;8
52001 Melilla;Polonia;Total;1 de enero de 2018;10
52001 Melilla;Polonia;Total;1 de enero de 2017;10
52001 Melilla;Polonia;Total;1 de enero de 2016;15
52001 Melilla;Polonia;Total;1 de enero de 2015;18
52001 Melilla;Polonia;Hombres;1 de enero de 2020;7
52001 Melilla;Polonia;Hombres;1 de enero de 2019;6
52001 Melilla;Polonia;Hombres;1 de enero de 2018;7
52001 Melilla;Polonia;Hombres;1 de enero de 2017;7
52001 Melilla;Polonia;Hombres;1 de enero de 2016;9
52001 Melilla;Polonia;Hombres;1 de enero de 2015;10
52001 Melilla;Polonia;Mujeres;1 de enero de 2020;4
52001 Melilla;Polonia;Mujeres;1 de enero de 2019;2
52001 Melilla;Polonia;Mujeres;1 de enero de 2018;3
52001 Melilla;Polonia;Mujeres;1 de enero de 2017;3
52001 Melilla;Polonia;Mujeres;1 de enero de 2016;6
52001 Melilla;Polonia;Mujeres;1 de enero de 2015;8
52001 Melilla;Portugal;Total;1 de enero de 2020;15
52001 Melilla;Portugal;Total;1 de enero de 2019;18
52001 Melilla;Portugal;Total;1 de enero de 2018;17
52001 Melilla;Portugal;Total;1 de enero de 2017;15
52001 Melilla;Portugal;Total;1 de enero de 2016;25
52001 Melilla;Portugal;Total;1 de enero de 2015;31
52001 Melilla;Portugal;Hombres;1 de enero de 2020;9
52001 Melilla;Portugal;Hombres;1 de enero de 2019;9
52001 Melilla;Portugal;Hombres;1 de enero de 2018;9
52001 Melilla;Portugal;Hombres;1 de enero de 2017;10
52001 Melilla;Portugal;Hombres;1 de enero de 2016;18
52001 Melilla;Portugal;Hombres;1 de enero de 2015;24
52001 Melilla;Portugal;Mujeres;1 de enero de 2020;6
52001 Melilla;Portugal;Mujeres;1 de enero de 2019;9
52001 Melilla;Portugal;Mujeres;1 de enero de 2018;8
52001 Melilla;Portugal;Mujeres;1 de enero de 2017;5
52001 Melilla;Portugal;Mujeres;1 de enero de 2016;7
52001 Melilla;Portugal;Mujeres;1 de enero de 2015;7
52001 Melilla;Reino Unido;Total;1 de enero de 2020;67
52001 Melilla;Reino Unido;Total;1 de enero de 2019;75
52001 Melilla;Reino Unido;Total;1 de enero de 2018;76
52001 Melilla;Reino Unido;Total;1 de enero de 2017;83
52001 Melilla;Reino Unido;Total;1 de enero de 2016;92
52001 Melilla;Reino Unido;Total;1 de enero de 2015;94
52001 Melilla;Reino Unido;Hombres;1 de enero de 2020;24
52001 Melilla;Reino Unido;Hombres;1 de enero de 2019;29
52001 Melilla;Reino Unido;Hombres;1 de enero de 2018;33
52001 Melilla;Reino Unido;Hombres;1 de enero de 2017;34
52001 Melilla;Reino Unido;Hombres;1 de enero de 2016;36
52001 Melilla;Reino Unido;Hombres;1 de enero de 2015;35
52001 Melilla;Reino Unido;Mujeres;1 de enero de 2020;43
52001 Melilla;Reino Unido;Mujeres;1 de enero de 2019;46
52001 Melilla;Reino Unido;Mujeres;1 de enero de 2018;43
52001 Melilla;Reino Unido;Mujeres;1 de enero de 2017;49
52001 Melilla;Reino Unido;Mujeres;1 de enero de 2016;56
52001 Melilla;Reino Unido;Mujeres;1 de enero de 2015;59
52001 Melilla;Rumanía;Total;1 de enero de 2020;35
52001 Melilla;Rumanía;Total;1 de enero de 2019;34
52001 Melilla;Rumanía;Total;1 de enero de 2018;34
52001 Melilla;Rumanía;Total;1 de enero de 2017;36
52001 Melilla;Rumanía;Total;1 de enero de 2016;43
52001 Melilla;Rumanía;Total;1 de enero de 2015;52
52001 Melilla;Rumanía;Hombres;1 de enero de 2020;10
52001 Melilla;Rumanía;Hombres;1 de enero de 2019;9
52001 Melilla;Rumanía;Hombres;1 de enero de 2018;12
52001 Melilla;Rumanía;Hombres;1 de enero de 2017;14
52001 Melilla;Rumanía;Hombres;1 de enero de 2016;19
52001 Melilla;Rumanía;Hombres;1 de enero de 2015;28
52001 Melilla;Rumanía;Mujeres;1 de enero de 2020;25
52001 Melilla;Rumanía;Mujeres;1 de enero de 2019;25
52001 Melilla;Rumanía;Mujeres;1 de enero de 2018;22
52001 Melilla;Rumanía;Mujeres;1 de enero de 2017;22
52001 Melilla;Rumanía;Mujeres;1 de enero de 2016;24
52001 Melilla;Rumanía;Mujeres;1 de enero de 2015;24
52001 Melilla;Rusia;Total;1 de enero de 2020;14
52001 Melilla;Rusia;Total;1 de enero de 2019;15
52001 Melilla;Rusia;Total;1 de enero de 2018;17
52001 Melilla;Rusia;Total;1 de enero de 2017;15
52001 Melilla;Rusia;Total;1 de enero de 2016;13
52001 Melilla;Rusia;Total;1 de enero de 2015;12
52001 Melilla;Rusia;Hombres;1 de enero de 2020;3
